"","name","desc","langCat"
"1","11-4D","Multi-appendiged medical droid in the service of Darth Plagueis and Weldon Hord.","russian-iso8859_5"
"2","2-1B","Medical droid that repairs Luke Skywalker's hand in The Empire Strikes Back, and makes an appearance in the interweaving Tales of the Bounty Hunters.","russian-iso8859_5"
"3","327-T","A WED-15 Treadwell droid serving the republic. appears in Star Wars: The Clone Wars.","lithuanian"
"4","4-LOM","A bounty hunter droid in The Empire Strikes Back. 4-LOM was an ambitious protocol droid who overwrote his own programming to embark on a life of crime. Portrayed by Chris Parsons.","sanskrit"
"5","8d8","A torturer droid working for Jabba the Hutt in Return of the Jedi.","welsh"
"6","8t88","A droid working with Jerec in Star Wars Jedi Knight: Dark Forces II.","scots"
"7","99","A defective Clone trooper who helped the Domino Squad in the Clone Wars.",NA
"8","0-0-0","also known as Triple-Zero, was a protocol droid designed to specialise in etiquette, customs, translation and torture. in Star Wars: Darth Vader","russian-iso8859_5"
"9","Ask Aak","Gran Senator who represented Malastare in the Galactic Senate during the final decade of the Galactic Republic. He was one of Palpatine's loyalists. Appeared in Episodes II and III of the Prequel Trilogy.","basque"
"10","Abeloth","A dark side entity, Abeloth began as a mortal woman who came across the immortal Force entities, the Ones, on their mysterious homeworld. Taking on the mantle of the Mother, Abeloth helped the The Father keep the peace between her warring Son and Daughter for many years. However, fearing her own mortality, the Mother bathed in the Pool of Knowledge and drank from the Font of Power, in hopes of remaining with her immortal family. The result was that she became the dark side entity Abeloth. Working with the insectoid Killik race, the Ones worked together to construct Centerpoint Station, which they used to imprison Abeloth on their planet, surrounding it with a cluster of black holes, later known as the Maw. Following this Abeloth's family relocated to the mysterious planet Mortis, leaving her to her lonely prison. Millennia later, following the actions of the Sith Lord Darth Caedus, the Jedi (led by Jedi Grand Master Luke Skywalker) launched an attack on Centerpoint and destroyed the ancient space station. This resulted in the eventual destruction of Sinkhole Station, allowing Abeloth to finally leave her prison. Using her dark side powers, Abeloth possessed the charismatic Senator Rokari Kem, whom she used to assume control of the Galactic Federation of Free Alliances, as well as the Lost Tribe of the Sith (after her murder of Sith Grand Lord Darish Vol). She was eventually destroyed by the combined efforts of Skywalker and his Sith counterpart, Darth Krayt, leader of the One Sith.","scots"
"11","Admiral Gial Ackbar","Commands the Rebel fleet in their attack against the second Death Star in Return of the Jedi. Ackbar was a Mon Calamari leader and military commander. Aptly given a name that means ""selfless servant,"" Ackbar devoted himself to the cause of galactic freedom and became the foremost military commander of the Alliance to Restore the Republic, having previously been an Imperial slave, and the later New Republic. He later dies during the New Jedi Order era, during the Yuuzhan Vong invasion, but not before masterminding the Ebaq 9 assault that devastated the Yuuzhan Vong fleet and resulted in Warmaster Tsavong Lah's death.","scots_gaelic"
"12","Acros-Krik","Ongree mayor of Uscru Entertainment District on Coruscant. He was seen outside the Outlander Club in Attack of the Clones.","basque"
"13","King Adas","King of Korriban during the time of the First Sith Empire. His reign lasted nearly three hundred years.","tagalog"
"14","Ak-Rev","Weequay drum player for the Max Rebo Band in the Special Edition of Return of the Jedi.","breton"
"15","Stass Allie","Tholothian Jedi Master and Jedi Council member in Star Wars Episode II: Attack of the Clones and Star Wars Episode III: Revenge of the Sith.","german"
